biosample_id,strain,mlst,ribotype,npmA_presence,Composite_Tn,ICE_MGE_type,niche,host,host_disease,isolation_source,collection_year,collection_month,collection_day,continent,country,region,District,City,lab_contact,bioproject_id,run_id,study_id,contig_number,genome_length,N50,QC_assemblies,QC_reason
SAMEA2769949,SJH_89,11,,,,,Human,Human,,,2012,,,Europe,Ireland,,,Dublin,Trinity College Dublin,PRJEB6575,ERR605004,Aogáin2015,89,3970174,164177,pass,
SAMEA2769950,SJH_72,11,,,,,Human,Human,,,2012,,,Europe,Ireland,,,Dublin,Trinity College Dublin,PRJEB6575,ERR605005,Aogáin2015,115,3970571,152494,pass,
SAMN04101437,CDILTC-0426,11,,,,,Human,Human,,Homo sapiens; stool,2013,,,North America,United States,Ohio,,,Centers for Disease Control and Prevention - Clinical and Environmental Branch,PRJNA296517,SRR2915768,Donskey2018,146,4033320,99715,pass,
SAMEA2239352,CD01,11,,,,,Environment,Water/River,,not appicable; wastewater,2014,,,Europe,United Kingdom,,,,Wellcome Trust Sanger Institute,PRJEB4347,ERR425928,Shishir2019,60,4032430,141498,pass,
SAMEA2187570,C00008096,11,,,,,Human,Human,,,2011,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4556,ERR340168,Dubois2016,67,4031010,141793,pass,
SAMEA2187561,C00008084,11,,,,,Human,Human,,,2011,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4556,ERR340159,Dubois2016,82,4036903,134407,pass,
SAMEA2187720,C00010636,11,,,,,Human,Human,,,2010,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4556,ERR340318,Dubois2016,74,3914313,141070,pass,
SAMEA2187694,C00009926,11,,,,,Human,Human,,,2008,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4556,ERR340292,Dubois2016,75,3915331,129498,pass,
SAMEA2187638,C00008291,11,,,,,Human,Human,,,2011,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4556,ERR340236,Dubois2016,80,4031208,134013,pass,
SAMEA2240527,C00007709,11,,npmA2,yes,ICE_v1,Human,Human,,,,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4640,ERR347803,Eyre2013,76,4000277,134199,pass,
SAMEA2240660,C00008449,11,,,,,Human,Human,,,,,,Europe,United Kingdom,,,,University of Oxford,PRJEB4640,ERR347620,Eyre2013,107,3954289,88805,pass,
SAMEA1710753,B37_3,11,,,,,Livestock,Pig,,feces; Pig,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257067,Knetsch2014,94,3918457,134740,pass,
SAMEA1710627,H214,11,,,,,Human,Human,,feces; Homo sapiens,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257059,Knetsch2014,106,3916840,134187,pass,
SAMEA1710576,H95,11,,,,,Human,Human,,feces; Homo sapiens,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257057,Knetsch2014,114,4021530,131270,pass,
SAMEA1710567,H122,11,,,,,Human,Human,,feces; Homo sapiens,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257056,Knetsch2014,91,3905177,147397,pass,
SAMEA1710718,B15_1,11,,,,,Livestock,Pig,,feces; Pig,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257053,Knetsch2014,101,4024600,132821,pass,
SAMEA1710539,81,11,78,,,,Human,Human,,,2008,,,Europe,United Kingdom,Leeds,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257085,Knetsch2014,95,3905366,142417,pass,
SAMEA1710680,H205,11,,,,,Human,Human,,feces; Homo sapiens,2011,,,Europe,Netherlands,,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257052,Knetsch2014,95,3915366,141597,pass,
SAMEA1710506,78,11,78,,,,Human,Human,,,2012,,,Europe,Austria,Styria,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257007,Knetsch2014,50,4008419,162644,pass,
SAMEA1710492,78,11,78,,,,Human,Human,,,2012,,,Europe,Austria,Tyrol,,,Wellcome Trust Sanger Institute,PRJEB3012,GCF_900692075,Knetsch2014,57,4015643,149591,pass,
SAMEA1710543,78,11,78,,,,Human,Human,,,2012,,,Europe,Austria,Vienna,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR257005,Knetsch2014,60,4085182,130378,pass,
SAMEA1710347,78,11,78,,,,Human,Human,,,2011,,,Europe,United Kingdom,Birmingham,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256907,Knetsch2014,101,3951968,134081,pass,
SAMEA1710381,78,11,78,,,,Human,Human,,,2011,,,Europe,United Kingdom,Northants,,,Wellcome Trust Sanger Institute,PRJEB3012,ERR256903,Knetsch2014,97,3907002,147652,pass,
